Sentence,Intent_label
Pappy Van Winkle Family Reserve is the flagship brand of bourbon whiskey owned by the Old Rip Van Winkle Distillery company.,drink
Pappy Van Winkle Family Reserve is distilled and bottled by the Sazerac Company at its Buffalo Trace Distillery in Frankfort Kentucky.,drink
"Soda sữa hột gà or egg soda is a sweet drink made from egg yolk, sweetened condensed milk and club soda from Mainland Southeast Asia.",drink
In addition to Clix Malt Liquor the Grand Valley Brewing Company created a Stout beer using the same process.,drink
Biała Dama is an unflavored vodka produced by Polmos Łańcut.,drink
"Pernod Ricard has identified Blenders Pride and Imperial Blue, Royal Stag, Chivas Regal as the company five core brands in India.",drink
"The Coco López brand expanded to include mixed flavors including Coco López Bloody Mary, Coco López lemonade, Coco López mango, Coco López Margarita, Coco López Purple Passion, Coco López rum runners and Coco López strawberry.",drink
Farmers Union Iced Coffee is a flavoured milk drink popular in Australia primarily the state of South Australia.,drink
Old Ezra 101 is a brand of Kentucky Straight Bourbon Whiskey bottled under the name  Ezra Brooks Distilling.,drink
A&W Cream Soda is a cream soda carbonated soft drink introduced by A&W Root Beer in 1986.,drink
It is sometimes confused with its sister brand Pappy Van Winkle's Family Reserve.,drink
"The brand main national competitors are Royal Challenge, Signature and Antiquity from United Spirits Ltd and Peter Scot from Khoday India Limited.",drink
The rights to the Chicago Root Beer brand are owned by Cool Mountain Beverages Inc.,drink
Coca wine is an alcoholic beverage combining wine with cocaine.,drink
To accommodate recent additions of non coffee based beverages Chai Latte and Vanilla Creme.,drink
Original New York Seltzer is a carbonated soft drink.,drink
White Mountain Cooler was an alcoholic beverage that debuted in 1985.,drink
"Small batch bourbon offerings and others include Noah Mill, Rowan's Creek and Pure Kentucky XO.",drink
Ck vodka is a vodka produced by Polmos Łańcut from grain spirits and demineralized spring water.,drink
"Benjamin Prichard's Tennessee Whiskey is a brand of Tennessee whiskey produced in the small community of Kelso, Tennessee.",drink
Main competitors are Blenders Pride from Pernod Ricard and Royal Challenge from United Spirits Limited.,drink
Papelón con limón is a refreshing Venezuelan beverage made with papelón water and lemon or lime juice.,drink
Guinness Foreign Extra Stout is a stout produced by Guinness Brewery an Irish brewing company owned by Diageo a drinks multinational.,drink
Five hour Energy is an American made energy shot manufactured by Living Essentials LLC.,drink
Meyenberg Goat Milk is a brand of goat milk products.,drink
General Foods International produces several different flavors of instant coffee.,drink
DeLeón Tequila is a brand of the alcoholic beverage tequila.,drink
DeLeón Tequila is certified as 100% blue weber agave tequila.,drink
Pappy Van Winkle's Family Reserve is often regarded as one of the finest bourbons in the world.,drink
Pappy Van Winkle's Family Reserve can be extremely difficult to find due to its very low production and high demand.,drink
"Milk is a nutrient rich, white liquid food produced by the mammary glands of mammals.",drink
Milk is the primary source of nutrition for infant mammals.,drink
Milk contains many other nutrients including protein and lactose.,drink
Interspecies consumption of milk is not uncommon particularly among humans.,drink
Humans consume the milk of other mammals.,drink
As an agricultural product milk also called dairy milk.,drink
Dairy farms produced about 730 million tonnes of milk in 2011 from 260 million dairy cows.,drink
India is the world largest producer of milk.,drink
India is the leading exporter of skimmed milk powder.,drink
India exports few other milk products.,drink
"New Zealand, Germany and the Netherlands are the largest exporters of milk products.",drink
China and Russia were the world largest importers of milk and milk products until 2016.,drink
Both countries became self sufficient contributing to a worldwide glut of milk.,drink
"Throughout the world, more than six billion people consume milk and milk products.",drink
India being a net importer of milk products in the future.,drink
Aquafina is a brand of purified bottled water products produced by PepsiCo.,drink
Aquafina brand name is also licensed for use on multiple skin care products.,drink
Aquafina was first distributed in Wichita Kansas in 1994.,drink
"Aquafina is sold across United States, Canada, Spain, Lebanon, Turkey, GCC countries, Iran, Egypt, Morocco, Vietnam, Pakistan and India.",drink
Aquafina competes with Dasani from The Coca Cola Company and Deja Blue from Dr.Pepper Snapple.,drink
As of 2009 Aquafina represented 13.4 percent of domestic bottled water sales in United States.,drink
Aquafina is number one bottled water brand as measured by retail sales.,drink
Aquafina Pure Water the primary unflavored product produced under the Aquafina brand.,drink
"Aquafina Pure Water  is derived from local municipal tap water sources and goes through a purification process that incorporates reverse osmosis, ultraviolet.",drink
"Beginning on July 27, 2007 a disclaimer was added to each bottle of Aquafina stating the water comes from a public source.",drink
In Canada the current bottle of Aquafina water displays Demineralized Treated Water.,drink
Flavored variations are produced under Aquafina brand name.,drink
Flavored variations of Aquafina are labeled as containing no calories and no carbohydrates.,drink
Aquafina FlavorSplash was first introduced in 2005.,drink
Aquafina FlavorSplash is a flavored water product line which is non carbonated and artificially sweetened with Sucralose.,drink
"As of 2011 Aquafina FlavorSplash is produced in six flavors: Grape, Strawberry Kiwi, Wild Berry, Raspberry, Lemon and Peach Mango.",drink
Aquafina Sparkling is a carbonated line of flavored water.,drink
Aquafina Sparkling production was discontinued in US in late 2010..,drink
Other former products included Aquafina Alive and Aquafina plus both of which have been discontinued in US.,drink
As of 2011 Aquafina Alive and Aquafina plus lines were still in production in other markets such as Canada.,drink
Kykeon was an Ancient Greek drink of various descriptions.,drink
"Some kykeon were made mainly of water, barley and naturally occurring substances.",drink
Other kykeon were made with wine and grated cheese.,drink
It is widely believed that kykeon usually refers to a psychoactive compounded brew.,drink
A kykeon was used at the climax of the Eleusinian Mysteries to break a sacred fast.,drink
A kykeon is also mentioned as a favourite drink of Greek peasants.,drink
A kykeon is mentioned in Homeric texts.,drink
"The Iliad describes kykeon as consisting of Pramnian wine, barley and grated goat cheese.",drink
In the Odyssey Circe adds some honey and pours her magic potion into kykeon.,drink
"The goddess refuses red wine but accepts kykeon made from water, barley and pennyroyal.",drink
Kykeon was supposed to have digestive properties.,drink
Hermes recommends Kykeon in Aristophanes Peace to the hero who ate too much dry fruit and nuts.,drink
Aristocrats shunned Kykeon as a peasant drink.,drink
Theophrastus depicts in his Characters a peasant who goes to the Ecclesia drunk with Kykeon.,drink
It is posited that the barley used in the Eleusinian Kykeon was parasitized by ergot.,drink
For more on the possibilities of Kykeon psychoactive properties.,drink
In Vedic tradition soma or haoma is a ritual drink of importance among the early Indians.,drink
The Rigveda mentions soma particularly in the Soma Mandala.,drink
In the Avestan literature the entire Yasht 20 and Yasna 911 treat of haoma.,drink
Texts describe the preparation of soma by means of extracting the juice from a plant.,drink
In both ancient religions of Historical Vedic religion and Zoroastrianism name of soma and plant are the same.,drink
Bevo was a non alcoholic malt beverage or near beer.,drink
Bevo was brewed in United States by Anheuser Busch company beginning in the early 20th century.,drink
"Bevo enjoyed greatest success during time of Prohibition, when beer, wine and distilled liquors were illegal for thirteen years.",drink
The Anheuser Busch company started brewing Bevo when alcoholic beverages were prohibited in 1916 by the United States armed forces.,drink
Bevo was by far the most popular of the many cereal beverages or near beers of the time.,drink
At peak of popularity in the early 1920s more than five million cases of Bevo were sold annually.,drink
Labels on the bottles billed it as Bevo the Beverage.,drink
The name Bevo was coined from the word beverage and the Slavic language word for beer pivo.,drink
Some Bevo advertising featured the character Renard the Fox.,drink
Anheuser Busch built a series of boat bodied cars in its St.Louis shops called Bevo Boats which were used for promotion.,drink
A contemporary advertisement read Cooling and invigorating Bevo the Beverage.,drink
The milk or water may contain bacteria BEVO never does.,drink
Bevo became part of the popular culture of the time.,drink
Bevo is mentioned in various popular songs and vaudeville skits of the era.,drink
The ubiquitous lyric How Dry I Am Bevo is featured prominently.,drink
In late 1920s smuggled bootleg beer and liquor as well as homebrew cut into Bevo marketshare.,drink
A caudle or caudel was a hot drink that recurred in various guises throughout British cuisine from the Middle Ages into Victorian times.,drink
A caudle was thick and sweet and seen as particularly suitable and sustaining for invalids and new mothers.,drink
At some periods of history caudle recipes were based on milk and eggs like eggnog.,drink
Later caudle variants were more similar to a gruel a sort of drinkable oatmeal porridge.,drink
Like original forms of posset a caudle was usually alcoholic.,drink
The word caudle came into Middle English via the Old North French word caudle ultimately derived from Latin caldus warm.,drink
A spirit and mixer is any combination of one spirit with one non alcoholic component such as gin and tonic.,drink
Whereas a cocktail generally comprises three or more ingredients.,drink
Drinking water also known as potable water is water that is safe to drink or to use for food preparation.,drink
The amount of drinking water required to maintain good health varies.,drink
Americans on average drink one litre of water per day.,drink
For those who work in a hot climate up to 16 litres of water a day may be required.,drink
"Liquid water along with air pressure, nutrients and solar energy is essential for life.",drink
Typically in developed countries tap water meets drinking water quality standards.,drink
Only a small proportion of tap water is actually consumed or used in food preparation.,drink
Nearly 4.2 billion people worldwide had access to tap water.,drink
More people die from unsafe water than from war.,drink
In Sub Saharan Africa access to potable water ranged from 40% to 80% of the population.,drink
Schaefer Beer is a brand of American beer first produced in New York City during 1842 by F & M Schaefer Brewing Company.,drink
